Winery,Name,Vintage,Region,Country,Style,Date,Rating,Notes,Type,Link,Winery_Long,Winery_Lat
Nicolas Maillet,Mâcon-Villages,,Mâcon-Villages,France,Burgundy Macônnais White,2019-05-29 03:03:00,,,White Wine,https://www.vivino.com/wines/3582342,4.737016,46.382553
Château Suau,Château Suau Blanc Sec AOC Bordeaux,2017,Bordeaux,France,,2019-05-29 02:02:00,,,White Wine,https://www.vivino.com/wines/160690362,-0.314854,44.604639
Château Beauregard Mirouze,Cuvée Lauzina,2016,Corbières,France,,2019-05-29 02:02:00,,,Red Wine,https://www.vivino.com/wines/160690342,2.868911,43.124338
Tenuta Moriniello,Chianti Organic La Pieve,,Tuscany,Italy,,2019-05-29 02:02:00,,,Red Wine,https://www.vivino.com/wines/160690291,10.918709,43.558296
Feudo Solaria,Lilium,2017,Sicily,Italy,,2019-05-29 02:02:00,,,Red Wine,https://www.vivino.com/wines/160690255,15.240354,38.213533
Domaine de Cause,La Lande Cavagnac Cahors Malbec,,Cahors,France,Southwest France Malbec,2019-05-28 01:01:00,4.0,"This is a really good Malbec! Well balanced spice nose. Heavy legs. Can clearly feel the boldness while pouring. The spice nose feels dry yet very soothing. The blackberry nose is gently softened by the oak aging. Medium tannins, again velvety touch. Feels a lot like wine dominated by black cherries. The oak gives a leather finish.",Red Wine,https://www.vivino.com/wines/4840838,1.039259,44.510596
Château du Donjon,Le Merlot du Donjon,2015,Coteaux de Peyriac,France,Languedoc-Roussillon Red,2019-05-25 02:02:00,3.5,Very deep color and heavy legs. Quite an obvious plum dominant nose as expected from a Merlot. Definitely feels full bodied. Some secondary spice flavors. Mild oak of sorts. Smooth velvet palate. Tannins on the lower side. Medium plus alcohol. The velvet finish gives a sense of balance.,Red Wine,https://www.vivino.com/wines/147377629,2.435214,43.274577
Robert Cantin,Les Pierblancs Sancerre,2018,Sancerre,France,Upper Loire White,2019-05-25 02:02:00,4.0,"Distinctive pale color. The color does complete justice to the nose. Evokes fresh juicy fruit emotions, perhaps melon, watermelon juice. Fairly light legs. Very light on the palate, soft mineral finish. One of the best rosé I’ve had so far!",White Wine,https://www.vivino.com/wines/160512023,2.8628703,47.3082806
Barefoot,Pinot Noir,,California,United States,Californian Pinot Noir,2019-05-18 04:04:00,3.0,Very fruit forward nose. Bright cherry and raspberry prominent. Brighter than ruby color I guess. Low on tannins. Feels juicy on the palate. Very light. Mild acidity.,Red Wine,https://www.vivino.com/wines/2232841,-120.9875617,37.6333302
Motto,Backbone Cabernet Sauvignon,,California,United States,Californian Cabernet Sauvignon,2019-05-16 04:04:00,,,Red Wine,https://www.vivino.com/wines/27373807,-122.4631327,38.2923732
Red Hook,Macari Vineyard Merlot,2014,North Fork of Long Island,United States,Californian Merlot,2019-05-10 03:03:00,4.0,"Very fruit forward, blackberry, cherry, blueberry. Blend with oak. Medium bodied. Leaves vanilla essence of sorts towards the end. Dry finish with a velvety smooth palate.",Red Wine,https://www.vivino.com/wines/157033313,-72.5702157,40.986827
Robert Mondavi Private Selection,Merlot,2017,Central Coast,United States,Californian Merlot,2019-05-08 03:03:00,3.5,"Dark ruby tending towards purple. Heavy legs, appears to be full bodied. Heavy oak, chocolate, blueberry, blackberry nose. Soft tannins, feels relatively young on the palate. Not very fruit forward though and low complexity and finish.",Red Wine,https://www.vivino.com/wines/150596248,-122.4122877,38.4554352
Robert Mondavi Private Selection,Cabernet Sauvignon,2016,Central Coast,United States,Californian Cabernet Sauvignon,2019-05-08 03:03:00,4.0,"Heavy legs, fruitier than the previous Merlot. The nose feels fruity cherry, the nose is relatively smooth. The oak is less pronounced and blends very well with the blackberry nose. The tannins are stronger yet velvety. High alcohol and acidity.",Red Wine,https://www.vivino.com/wines/86690130,-122.4122877,38.4554352
