Winery,Name,Vintage,Region,Country,Style,Date,Rating,Notes,Type,Link,Winery_Long,Winery_Lat
Dinastía Manzanos,Tempranillo,2017,Rioja,Spain,Spanish Rioja Red,2019-02-26 03:03:00,3.5,,Red Wine,https://www.vivino.com/wines/157045512,-1.8937490000000001,42.308325
Alambrado,Malbec,2016,Mendoza,Argentina,Argentinian Malbec,2019-02-26 03:03:00,3.0,,Red Wine,https://www.vivino.com/wines/93438112,-73.11499920000001,-36.084686600000005
Clemens Busch,Riesling Trocken,,Mosel,Germany,German Riesling,2019-02-26 04:04:00,4.0,,White Wine,https://www.vivino.com/wines/2291889,7.1210605,50.0420348
Au Bon Climat,Chardonnay Santa Barbara County,,Santa Barbara County,United States,Californian Chardonnay,2019-02-26 04:04:00,4.0,,White Wine,https://www.vivino.com/wines/4724153,-119.6992885,34.4210553
J. Opi a.k.a Rodolfo Sadler,Malbec,2017,Mendoza,Argentina,Argentinian Malbec,2019-02-26 04:04:00,3.0,,Red Wine,https://www.vivino.com/wines/150416064,-68.86496600000001,-32.879219
Mas de Daumas Gassac,Grande Réserve de Gassac Blanc,2017,Hérault,France,Languedoc-Roussillon White,2019-02-26 04:04:00,4.0,,White Wine,https://www.vivino.com/wines/152809739,3.5885073,43.6619659
Abbesse,Sauvignon Blanc,2017,Val de Loire,France,,2019-02-26 04:04:00,3.0,,White Wine,https://www.vivino.com/wines/154187174,1.12104,47.310719
Ramón Roqueta,Las Barracas  Tempranillo - Cabernet Sauvignon Gran Reserva,2011,Catalunya,Spain,Spanish Red,2019-02-26 04:04:00,4.0,,Red Wine,https://www.vivino.com/wines/3631255,1.3796667,41.466856299999996
Saracosa,Toscana Rosso,2016,Toscana,Italy,Tuscan Red,2019-02-26 04:04:00,3.0,,Red Wine,https://www.vivino.com/wines/131502113,10.1311648,43.375637299999994
Bees Knees,Chenin Blanc - Viognier,,Western Cape,South Africa,,2019-02-26 04:04:00,3.5,,White Wine,https://www.vivino.com/wines/18624423,18.9131028,-34.1098055
Dark Corner,Durif - Shiraz,2017,South Eastern Australia,Australia,Australian Shiraz,2019-02-26 04:04:00,3.5,,Red Wine,https://www.vivino.com/wines/151598810,144.4316676,-34.4870148
Stones & Bones,Tinto,2015,Lisboa,Portugal,Southern Portugal Red,2019-02-26 04:04:00,4.0,,Red Wine,https://www.vivino.com/wines/35448929,-9.3224632,38.659158399999995
